#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.72309     2.72309           0
           2     2.76611      2.7446   0.0152087
           3     2.67828     2.72249   0.0207029
           4     2.70029     2.71694    0.016254
           5     2.71838     2.71723   0.0130057
           6     2.70163     2.71463   0.0110947
           7     2.70423     2.71314  0.00960871
           8     2.74875     2.71759   0.0093817
           9     2.78811     2.72543   0.0111407
          10       2.778     2.73069   0.0111984
          11     2.74287     2.73179   0.0102349
          12     2.73631     2.73217  0.00938893
          13     2.76266     2.73451  0.00895481
          14     2.73039     2.73422  0.00832002
          15     2.72316     2.73348  0.00779794
          16      2.7495     2.73448  0.00737454
          17     2.72774     2.73409   0.0069514
          18     2.70301     2.73236  0.00677625
          19     2.70519     2.73093  0.00656872
          20     2.73782     2.73128  0.00624931
