#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.472454   -0.472454           0
           2    -0.47209   -0.472272 0.000128693
           3    -0.47235   -0.472298  8.8331e-05
           4   -0.472582   -0.472369  9.0425e-05
           5   -0.472497   -0.472395 7.58557e-05
           6   -0.470916   -0.472148 0.000233692
           7   -0.472074   -0.472138 0.000200546
           8   -0.472585   -0.472194 0.000183099
           9   -0.472345    -0.47221 0.000163523
          10   -0.471342   -0.472124 0.000168679
          11   -0.472247   -0.472135 0.000153719
          12   -0.471811   -0.472108 0.000143254
          13   -0.471999   -0.472099 0.000132478
          14   -0.472352   -0.472117 0.000124237
          15    -0.47214   -0.472119 0.000115964
          16   -0.472814   -0.472162  0.00011656
          17   -0.472371   -0.472175 0.000110348
          18    -0.47178   -0.472153 0.000106374
          19   -0.471765   -0.472132 0.000102717
          20   -0.471953   -0.472123 9.79722e-05
