#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.35452     2.35452           0
           2     2.34098     2.34775  0.00478497
           3     2.34491      2.3468  0.00328194
           4     2.36076     2.35029  0.00389664
           5     2.36462     2.35316  0.00403595
           6     2.30836     2.34569  0.00760061
           7     2.29527     2.33849  0.00932323
           8     2.32633     2.33697  0.00828078
           9     2.37901     2.34164  0.00857783
          10     2.33613     2.34109  0.00773773
          11     2.31322     2.33855  0.00743754
          12     2.34853     2.33939  0.00686408
          13     2.31025     2.33714  0.00669199
          14     2.31435     2.33552  0.00640906
          15     2.35733     2.33697  0.00614454
          16      2.3638     2.33865  0.00598495
          17     2.35784     2.33978   0.0057384
          18     2.35497     2.34062  0.00548133
          19     2.35062     2.34115  0.00521804
          20     2.38586     2.34338  0.00541488
