#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.5102      1.5102           0
           2     1.50471     1.50745   0.0019409
           3     1.52245     1.51245  0.00428154
           4     1.50001     1.50934   0.0041917
           5     1.49286     1.50605  0.00446486
           6     1.49508     1.50422  0.00407786
           7     1.48982     1.50216  0.00398039
           8     1.50209     1.50215  0.00348285
           9     1.52677     1.50489  0.00402907
          10     1.50112     1.50451  0.00364374
          11     1.51556     1.50551   0.0034481
          12     1.50717     1.50565  0.00316351
          13     1.51119     1.50608  0.00294866
          14     1.49867     1.50555  0.00278509
          15     1.51208     1.50598  0.00263324
          16     1.51996     1.50686   0.0026096
          17     1.51838     1.50754  0.00254263
          18     1.50631     1.50747  0.00240228
          19     1.53468      1.5089   0.0026688
          20     1.51637     1.50927  0.00256137
