#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0107042    0.371675           0
           2   0.0107714    0.372841 0.000824407
           3   0.0106526    0.371855 0.000974719
           4   0.0106877    0.371666  0.00074907
           5   0.0107404    0.371919 0.000640521
           6   0.0105845    0.371185 0.000856458
           7   0.0106167    0.370821 0.000807954
           8   0.0107284    0.371032  0.00073416
           9   0.0106728    0.370982 0.000654286
          10     0.01065    0.370863 0.000599603
          11   0.0106903    0.370893 0.000545825
          12   0.0107635     0.37113 0.000549197
          13   0.0106735    0.371089 0.000508414
          14   0.0106535    0.371005 0.000478988
          15   0.0107032    0.371048 0.000448912
          16   0.0106674    0.371007 0.000422705
          17   0.0106647    0.370965 0.000399858
          18   0.0106922    0.370982 0.000377974
          19   0.0107924    0.371179 0.000406424
          20    0.010674    0.371151 0.000387051
