#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00508251    0.451779           0
           2  0.00496222    0.446433  0.00378023
           3  0.00488811    0.442455  0.00411097
           4  0.00493239     0.44145  0.00320374
           5  0.00499723    0.441999  0.00260972
           6  0.00485175    0.440211  0.00271958
           7  0.00498138    0.440579  0.00235589
           8  0.00487437    0.439666  0.00223121
           9  0.00494721    0.439676  0.00198332
          10  0.00495698     0.43977  0.00178724
          11  0.00473209     0.43803  0.00232211
          12  0.00486182    0.437541   0.0021795
          13   0.0048753     0.43722  0.00203543
          14  0.00470219    0.435845  0.00230811
          15  0.00489051    0.435769  0.00215547
          16  0.00476918    0.435029  0.00214408
          17  0.00498444    0.435502  0.00206936
          18  0.00494799    0.435742  0.00196826
          19   0.0048719      0.4356  0.00186973
          20  0.00484609    0.435358  0.00179181
