#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     19.5187     19.5187           0
           2     19.4785     19.4986   0.0142044
           3     18.3762     19.1245    0.305631
           4     19.5909     19.2411    0.250487
           5     18.4182     19.0765    0.248644
           6     18.3156     18.9497    0.237352
           7     19.0823     18.9686    0.204199
           8     18.7909     18.9464    0.179879
           9     18.5971     18.9076    0.164028
          10     19.6503     18.9819    0.163578
          11     18.7092     18.9571    0.150574
          12     19.4918     19.0016    0.144469
          13     19.6165     19.0489    0.140886
          14      19.219     19.0611    0.131345
          15     18.4793     19.0223    0.128187
          16     19.3546     19.0431    0.121847
          17     18.7199     19.0241    0.116153
          18     20.2554     19.0925     0.12827
          19     18.9867     19.0869     0.12164
          20     18.8118     19.0731    0.116333
