#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.568842   -0.568842           0
           2   -0.568131   -0.568487 0.000251447
           3   -0.567914   -0.568296 0.000228993
           4   -0.568229   -0.568279 0.000172355
           5   -0.569464   -0.568516 0.000252878
           6   -0.568617   -0.568533 0.000211289
           7   -0.567617   -0.568402 0.000217891
           8    -0.56861   -0.568428 0.000192206
           9   -0.567873   -0.568366 0.000180478
          10   -0.569233   -0.568453 0.000182046
          11   -0.568713   -0.568477 0.000167022
          12   -0.568871   -0.568509 0.000156307
          13   -0.568581   -0.568515  0.00014438
          14   -0.567796   -0.568464 0.000142909
          15   -0.566789   -0.568352  0.00017154
          16   -0.568592   -0.568367 0.000161473
          17   -0.568462   -0.568373 0.000152071
          18   -0.568062   -0.568355 0.000144595
          19   -0.568787   -0.568378  0.00013876
          20     -0.5693   -0.568424 0.000139269
