#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.94983    -0.94983           0
           2   -0.955694   -0.952762  0.00207324
           3   -0.956051   -0.953858   0.0016468
           4   -0.958033   -0.954902  0.00153049
           5   -0.954554   -0.954832  0.00122598
           6   -0.953894   -0.954676  0.00103156
           7   -0.957306   -0.955052 0.000950182
           8   -0.956586   -0.955243 0.000850555
           9   -0.951162    -0.95479 0.000868554
          10    -0.95725   -0.955036  0.00081578
          11   -0.959079   -0.955404 0.000820255
          12    -0.95856   -0.955667 0.000792954
          13   -0.956653   -0.955742 0.000735578
          14    -0.95607   -0.955766 0.000683408
          15   -0.955232    -0.95573 0.000638773
          16   -0.956136   -0.955756 0.000599353
          17   -0.956522   -0.955801 0.000565792
          18   -0.952994   -0.955645 0.000555436
          19   -0.958363   -0.955788 0.000544318
          20    -0.95649   -0.955823 0.000518232
