#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1       4.011       4.011           0
           2     3.98059     3.99579   0.0107514
           3     3.90017     3.96392   0.0269952
           4     4.01907     3.97771   0.0235056
           5     3.91451     3.96507   0.0219413
           6     3.95616     3.96358   0.0183346
           7     4.01136     3.97041    0.016938
           8     3.95969     3.96907   0.0148736
           9     3.99448     3.97189   0.0134862
          10     3.97489     3.97219   0.0121409
          11     3.95649     3.97076   0.0111208
          12     3.93924     3.96814   0.0104997
          13     3.93433     3.96554   0.0100089
          14     3.90319     3.96108    0.010237
          15     3.98461     3.96265  0.00967386
          16     4.00592     3.96536  0.00943971
          17     3.95978     3.96503  0.00889013
          18     3.87764     3.96017  0.00963104
          19     3.90871     3.95747  0.00949736
          20     3.98049     3.95862  0.00909201
