#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00640708    0.443396           0
           2  0.00636985    0.442108 0.000910747
           3  0.00631352    0.440379   0.0015367
           4   0.0063456     0.44007  0.00118324
           5   0.0063236     0.43958  0.00104319
           6  0.00625959    0.438515  0.00130419
           7  0.00641739    0.439314  0.00134064
           8  0.00626694    0.438612  0.00134434
           9  0.00630834    0.438385   0.0012141
          10  0.00629646     0.43812  0.00112109
          11  0.00642429    0.438708  0.00116317
          12  0.00632515    0.438626  0.00106911
          13  0.00634644    0.438671 0.000987786
          14  0.00631865    0.438571 0.000922233
          15  0.00630784    0.438435 0.000870743
          16  0.00636635    0.438569 0.000826557
          17  0.00649457    0.439209 0.000995421
          18  0.00625034    0.438839  0.00100653
          19  0.00650252    0.439426  0.00111186
          20  0.00623495    0.439029  0.00112495
