#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.60157     5.60157           0
           2     5.61278     5.60717  0.00396211
           3     5.58506      5.5998  0.00657346
           4     5.63879     5.60955  0.00977621
           5     5.51627     5.59089   0.0184287
           6     5.66078     5.60254   0.0186795
           7      5.6136     5.60412   0.0160776
           8     5.49866     5.59094   0.0187076
           9     5.59112     5.59096    0.016629
          10      5.5886     5.59072   0.0149678
          11     5.58795     5.59047   0.0136092
          12     5.68949     5.59872   0.0147665
          13     5.54646      5.5947   0.0141672
          14      5.6402     5.59795   0.0135229
          15     5.64805     5.60129   0.0130274
          16     5.59099     5.60065   0.0122291
          17     5.59167     5.60012   0.0115211
          18     5.61578     5.60099   0.0109138
          19     5.62708     5.60236   0.0104255
          20     5.59479     5.60198  0.00991105
