#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0119302    0.327303           0
           2   0.0120707    0.329231  0.00136317
           3   0.0119707    0.328958 0.000935655
           4   0.0120035    0.329047 0.000705935
           5     0.01208     0.32952 0.000705814
           6   0.0119842    0.329398 0.000598711
           7   0.0120168    0.329438 0.000514529
           8   0.0121107     0.32979 0.000557924
           9   0.0120829     0.32998 0.000527023
          10   0.0119965    0.329894 0.000481247
          11   0.0119828     0.32979 0.000448644
          12   0.0120815    0.329928 0.000432164
          13   0.0120442    0.329967 0.000400646
          14   0.0120949    0.330099 0.000393303
          15   0.0121131    0.330247 0.000393956
          16   0.0120441    0.330259 0.000369493
          17   0.0120696     0.33031 0.000351286
          18   0.0119779    0.330215 0.000344219
          19   0.0121658    0.330402 0.000373411
          20    0.012007    0.330353 0.000358021
