#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.479747    0.479747           0
           2    0.442912    0.461329   0.0130234
           3    0.414859    0.445839    0.015341
           4    0.445504    0.445755    0.011506
           5    0.446863    0.445977   0.0092069
           6     0.42387    0.442292  0.00837725
           7    0.429581    0.440477  0.00737469
           8    0.488032    0.446421   0.0085181
           9    0.442316    0.445965  0.00758384
          10    0.426016     0.44397  0.00708296
          11    0.481282    0.447362  0.00720565
          12    0.451518    0.447708  0.00661349
          13    0.461218    0.448748  0.00618587
          14    0.438298    0.448001  0.00578888
          15    0.454342    0.448424  0.00541837
          16    0.452067    0.448652   0.0050845
          17    0.434158    0.447799  0.00485637
          18    0.435296    0.447104  0.00463598
          19    0.457328    0.447642   0.0044231
          20    0.469991     0.44876   0.0043408
