#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00374762    0.443506           0
           2  0.00365227    0.437864  0.00398954
           3  0.00363825     0.43543  0.00332017
           4  0.00366595    0.435032  0.00251379
           5  0.00362189    0.433751  0.00231465
           6  0.00358254    0.432121   0.0024363
           7  0.00359543    0.431174   0.0022647
           8  0.00358692    0.430338  0.00213028
           9  0.00367088    0.430792  0.00194133
          10   0.0036553    0.430971  0.00175541
          11  0.00366601    0.431232  0.00161518
          12  0.00359235    0.430724  0.00155858
          13  0.00368357    0.431124  0.00148917
          14  0.00362628    0.430983  0.00138949
          15  0.00365335    0.431074  0.00129984
          16   0.0034677     0.42978  0.00174742
          17  0.00366329    0.430001  0.00165846
          18  0.00353138    0.429329   0.0016968
          19  0.00366865    0.429583  0.00162642
          20  0.00366874    0.429813  0.00156119
