#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0828956   0.0828956           0
           2    0.082298   0.0825968 0.000211284
           3   0.0876464     0.08428  0.00138153
           4   0.0825748   0.0838537  0.00109995
           5   0.0912496   0.0853329  0.00158893
           6   0.0897784   0.0860738  0.00148686
           7   0.0890372   0.0864971  0.00133335
           8   0.0875732   0.0866316  0.00117345
           9   0.0857068   0.0865289  0.00104756
          10    0.083692   0.0862452 0.000980462
          11   0.0848664   0.0861199 0.000899305
          12    0.093458   0.0867314  0.00101112
          13   0.0959908   0.0874436  0.00115733
          14   0.0846344    0.087243  0.00109192
          15   0.0859916   0.0871595  0.00102231
          16   0.0948244   0.0876386  0.00106476
          17    0.089404   0.0877424  0.00100718
          18    0.091292   0.0879396 0.000970335
          19   0.0845548   0.0877615 0.000935475
          20   0.0894328   0.0878451 0.000892426
