#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.077712    0.077712           0
           2   0.0728156   0.0752638  0.00173114
           3   0.0734012   0.0746429  0.00126052
           4   0.0702948   0.0735559  0.00133416
           5   0.0648436   0.0718134  0.00188895
           6    0.067128   0.0710325  0.00172802
           7    0.066126   0.0703316  0.00161708
           8   0.0707924   0.0703892  0.00141597
           9   0.0753108    0.070936  0.00136014
          10   0.0718428   0.0710267  0.00122715
          11   0.0642452   0.0704102  0.00126098
          12   0.0619544   0.0697056  0.00133838
          13   0.0695604   0.0696944  0.00123547
          14   0.0654624   0.0693921  0.00118363
          15   0.0669988   0.0692326  0.00111542
          16   0.0736516   0.0695087  0.00107936
          17   0.0657636   0.0692884  0.00103811
          18   0.0689328   0.0692687 0.000980621
          19   0.0739824   0.0695168 0.000959879
          20    0.070668   0.0695743 0.000913609
