#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00246534    0.407495           0
           2  0.00241709    0.403507  0.00281975
           3  0.00246803    0.404984  0.00223347
           4  0.00235727    0.401146  0.00372216
           5  0.00244439    0.401723  0.00302214
           6  0.00238399    0.400444  0.00277605
           7  0.00236174    0.399005  0.00272709
           8  0.00241363    0.398998  0.00238621
           9  0.00237534    0.398289  0.00222385
          10  0.00245527    0.399043  0.00212548
          11  0.00237487    0.398452  0.00201278
          12  0.00243189    0.398745  0.00186623
          13  0.00240298    0.398625  0.00172651
          14  0.00242938    0.398834  0.00161578
          15  0.00242968    0.399018  0.00151854
          16  0.00238921    0.398761  0.00144517
          17  0.00241138     0.39875   0.0013602
          18  0.00242627    0.398877  0.00129055
          19  0.00239432    0.398713  0.00123304
          20  0.00236488    0.398322  0.00123188
