#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     6.53541     6.53541           0
           2     6.25169     6.39355    0.100309
           3     6.39444     6.39385   0.0668733
           4     6.31752     6.37477   0.0528075
           5     6.27201     6.35422   0.0460714
           6     6.40723     6.36305   0.0392309
           7     6.39994     6.36832   0.0339786
           8     6.39054      6.3711   0.0298445
           9     6.55634     6.39168   0.0328683
          10     6.40626     6.39314   0.0296138
          11     6.34232     6.38852   0.0272796
          12     6.25164     6.37711   0.0272869
          13     6.60039     6.39429   0.0301118
          14     6.32821     6.38957   0.0283284
          15     6.43511      6.3926   0.0266021
          16     6.47659     6.39785    0.025452
          17     6.37892     6.39674   0.0239792
          18     6.38398     6.39603   0.0226575
          19     6.41898     6.39724   0.0214972
          20     6.37965     6.39636   0.0204403
