#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.630842   -0.630842           0
           2   -0.629194   -0.630018 0.000582656
           3   -0.629319   -0.629785 0.000432451
           4   -0.629862   -0.629804 0.000324773
           5   -0.630003   -0.629844 0.000262246
           6   -0.629804   -0.629837 0.000218623
           7   -0.628649   -0.629668 0.000244593
           8   -0.630542   -0.629777 0.000237209
           9    -0.62903   -0.629694 0.000224916
          10   -0.630122   -0.629737 0.000206452
          11   -0.630274   -0.629785 0.000193368
          12   -0.630154   -0.629816 0.000179682
          13   -0.630004   -0.629831  0.00016644
          14   -0.629626   -0.629816 0.000155195
          15   -0.628598   -0.629735 0.000164739
          16   -0.630048   -0.629754 0.000155602
          17   -0.630314   -0.629787 0.000149895
          18   -0.628743   -0.629729 0.000152378
          19    -0.62925   -0.629704 0.000146428
          20   -0.629834   -0.629711 0.000139252
