#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0153802    0.213023           0
           2   0.0154486    0.213496 0.000334545
           3   0.0153061    0.212996 0.000465096
           4   0.0153743    0.212982 0.000349034
           5   0.0153446    0.212891 0.000290737
           6   0.0152833     0.21269 0.000304359
           7    0.015224    0.212428 0.000356006
           8   0.0152213    0.212227  0.00036381
           9   0.0154032    0.212351 0.000343769
          10   0.0152997    0.212306 0.000312248
          11   0.0154225    0.212425 0.000305477
          12   0.0152187    0.212288  0.00030908
          13    0.015306    0.212265 0.000286131
          14   0.0153221    0.212262 0.000265713
          15   0.0153354    0.212271  0.00024816
          16   0.0152057    0.212167 0.000253544
          17   0.0151654    0.212043 0.000267539
          18   0.0152504    0.211997  0.00025651
          19   0.0154243    0.212083 0.000257045
          20   0.0153744    0.212126 0.000247751
