#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0292428   0.0292428           0
           2   0.0299628   0.0296028 0.000254558
           3   0.0275308   0.0289121 0.000588909
           4    0.030102   0.0292096 0.000511319
           5   0.0263944   0.0286466 0.000648797
           6   0.0278868   0.0285199 0.000552883
           7   0.0260816   0.0281716 0.000573222
           8   0.0292968   0.0283122 0.000518538
           9   0.0304312   0.0285477 0.000511588
          10    0.030728   0.0287657 0.000504756
          11   0.0242488   0.0283551 0.000603198
          12   0.0278656   0.0283143 0.000554309
          13    0.027952   0.0282864  0.00051237
          14   0.0247568   0.0280343 0.000534211
          15   0.0277892    0.028018 0.000498847
          16     0.02953   0.0281125 0.000476536
          17   0.0232852   0.0278285 0.000526351
          18   0.0288332   0.0278843  0.00050006
          19    0.031108    0.028054 0.000501699
          20   0.0275916   0.0280309 0.000477147
