#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.217384    0.217384           0
           2    0.229179    0.223282  0.00417023
           3    0.248784    0.231782  0.00747686
           4    0.232082    0.231857  0.00560802
           5    0.229824    0.231451  0.00450113
           6    0.252952    0.235034  0.00497702
           7    0.234419    0.234946   0.0042668
           8    0.244697    0.236165  0.00390366
           9    0.228854    0.235353  0.00355344
          10    0.230784    0.234896  0.00322733
          11    0.245292    0.235841  0.00306921
          12    0.251026    0.237106  0.00306322
          13    0.241828     0.23747  0.00284904
          14    0.223261    0.236455  0.00282051
          15    0.254855    0.237681  0.00288694
          16    0.232601    0.237364  0.00272391
          17    0.266202     0.23906  0.00304644
          18    0.243334    0.239298  0.00288643
          19    0.228454    0.238727  0.00279037
          20     0.26203    0.239892  0.00288386
