#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     14.8324     14.8324           0
           2      15.386     15.1092    0.195754
           3     14.5284     14.9156    0.204992
           4     15.5755     15.0806    0.209884
           5     15.1314     15.0907    0.168153
           6     14.9556     15.0682    0.141628
           7     14.8238     15.0333    0.125626
           8     14.6904     14.9904    0.117005
           9     14.8906     14.9794    0.104529
          10     15.8871     15.0701     0.12754
          11      14.775     15.0433    0.118734
          12     15.2383     15.0595    0.109946
          13     15.5963     15.1008    0.108966
          14     15.1143     15.1018    0.101187
          15     15.0071     15.0955   0.0946377
          16     15.3882     15.1138   0.0904737
          17     15.4883     15.1358   0.0877932
          18     15.4073     15.1509   0.0842011
          19     15.6048     15.1748   0.0830894
          20     14.9749     15.1648   0.0795337
