#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.782662   -0.782662           0
           2   -0.782249   -0.782455 0.000145947
           3   -0.782722   -0.782544 0.000121472
           4   -0.782214   -0.782462 0.000115868
           5    -0.78317   -0.782603 0.000157063
           6   -0.783272   -0.782715 0.000165772
           7   -0.782434   -0.782675  0.00014685
           8    -0.78286   -0.782698 0.000130307
           9    -0.78251   -0.782677 0.000117482
          10    -0.78264   -0.782673 0.000105792
          11   -0.783086   -0.782711 0.000102622
          12   -0.782166   -0.782666 0.000103618
          13   -0.782623   -0.782662 9.56982e-05
          14   -0.783106   -0.782694 9.39736e-05
          15   -0.783431   -0.782743 9.97356e-05
          16   -0.781962   -0.782694 0.000104761
          17   -0.784013   -0.782772 0.000124028
          18   -0.783732   -0.782825 0.000128094
          19    -0.78337   -0.782854 0.000124515
          20   -0.782968    -0.78286  0.00011842
