#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.74153    -0.74153           0
           2   -0.739927   -0.740729 0.000566817
           3   -0.741029   -0.740829 0.000386598
           4   -0.740994    -0.74087 0.000292136
           5   -0.741668    -0.74103 0.000273857
           6   -0.740507   -0.740943 0.000241658
           7   -0.741695    -0.74105 0.000229815
           8   -0.740887    -0.74103 0.000201988
           9   -0.740812   -0.741006 0.000180987
          10   -0.740446    -0.74095 0.000171331
          11   -0.741562   -0.741005 0.000164543
          12    -0.74062   -0.740973  0.00015393
          13   -0.740194   -0.740913 0.000153323
          14   -0.741014    -0.74092 0.000142542
          15   -0.740375   -0.740884 0.000137594
          16   -0.740442   -0.740856 0.000131743
          17   -0.742551   -0.740956 0.000157255
          18   -0.741571    -0.74099 0.000152187
          19   -0.740525   -0.740966 0.000146135
          20   -0.740803   -0.740958 0.000139054
