#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      8.4694      8.4694           0
           2     8.85572     8.66256    0.136587
           3     8.86663     8.73058     0.10666
           4     8.65986      8.7129   0.0814471
           5      8.4739      8.6651   0.0779324
           6     8.75919     8.68078   0.0665027
           7     8.69027     8.68214   0.0570161
           8     8.58842     8.67042   0.0510785
           9      8.7277     8.67679   0.0457979
          10     8.81742     8.69085   0.0433236
          11     8.48373     8.67202   0.0432839
          12     8.68486     8.67309   0.0396901
          13     8.43218     8.65456   0.0407344
          14     8.56205     8.64795    0.038357
          15     8.97375     8.66967   0.0414962
          16     8.58774     8.66455   0.0392174
          17     8.89983     8.67839   0.0392767
          18     8.70643     8.67995   0.0371256
          19     8.73728     8.68297    0.035294
          20     8.61847     8.67974   0.0336763
