#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0459692   0.0459692           0
           2   0.0443772   0.0451732 0.000562857
           3    0.041802   0.0440495 0.000991289
           4   0.0452824   0.0443577 0.000789936
           5   0.0412256   0.0437313  0.00084456
           6   0.0400412   0.0431163 0.000900297
           7   0.0397032   0.0426287 0.000894018
           8   0.0437932   0.0427742 0.000794028
           9   0.0486924   0.0434318 0.000939422
          10   0.0494924   0.0440379  0.00102245
          11   0.0435228   0.0439911 0.000930575
          12   0.0409444   0.0437372 0.000886985
          13   0.0422016    0.043619 0.000826583
          14    0.036662   0.0431221 0.000904667
          15   0.0418492   0.0430373 0.000848327
          16   0.0457068   0.0432041 0.000811548
          17    0.036588   0.0428149 0.000852032
          18   0.0406112   0.0426925 0.000813445
          19   0.0486356   0.0430053 0.000828593
          20   0.0437204    0.043041 0.000787934
