#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0313356   0.0313356           0
           2   0.0297756   0.0305556 0.000551543
           3   0.0310728    0.030728 0.000393719
           4   0.0289744   0.0302896  0.00048098
           5   0.0293508   0.0301018 0.000419835
           6   0.0311084   0.0302696 0.000381912
           7   0.0349824   0.0309429 0.000704047
           8    0.032296    0.031112 0.000636034
           9    0.030468   0.0310404 0.000569375
          10   0.0325808   0.0311945 0.000532866
          11   0.0323152   0.0312964 0.000494068
          12    0.033418   0.0314732 0.000483496
          13   0.0328476   0.0315789 0.000457718
          14    0.030932   0.0315327 0.000427349
          15   0.0340148   0.0316982 0.000429704
          16   0.0358284   0.0319563 0.000474086
          17   0.0306288   0.0318782 0.000452584
          18   0.0331556   0.0319492 0.000432968
          19   0.0324572   0.0319759 0.000411005
          20    0.030136   0.0318839 0.000400618
