#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0140331    0.257724           0
           2   0.0141819    0.259091 0.000966497
           3   0.0141988     0.25965 0.000789466
           4   0.0141202    0.259569 0.000596262
           5   0.0141584     0.25966 0.000483954
           6   0.0141683    0.259751 0.000411785
           7   0.0140913    0.259614 0.000374988
           8   0.0141851    0.259727 0.000344629
           9   0.0141129    0.259667 0.000311453
          10   0.0141324    0.259656 0.000280534
          11   0.0141376    0.259654 0.000255033
          12   0.0140928    0.259585 0.000243051
          13   0.0143242    0.259853 0.000341652
          14   0.0140654    0.259744 0.000334373
          15   0.0141337    0.259732 0.000312277
          16   0.0138919    0.259445 0.000403978
          17   0.0141717    0.259493 0.000383119
          18   0.0140712    0.259434  0.00036641
          19   0.0141651    0.259471 0.000349048
          20   0.0141965    0.259534 0.000337185
