#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35481     1.35481           0
           2     1.34762     1.35122  0.00253922
           3     1.36943     1.35729  0.00523906
           4     1.36622     1.35952  0.00437911
           5     1.34929     1.35747  0.00395263
           6     1.35475     1.35702  0.00331982
           7     1.37156      1.3591  0.00343434
           8     1.35754      1.3589  0.00301059
           9     1.36463     1.35954  0.00274247
          10     1.35681     1.35927  0.00248171
          11     1.36621      1.3599  0.00233504
          12      1.3392     1.35817   0.0027033
          13     1.34325     1.35702  0.00272821
          14      1.3511      1.3566  0.00256599
          15     1.36685     1.35728  0.00248423
          16     1.36529     1.35778  0.00237883
          17     1.36299     1.35809  0.00225853
          18     1.35957     1.35817  0.00213455
          19      1.3563     1.35807  0.00202449
          20     1.35972     1.35816  0.00192494
