#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.54119     7.54119           0
           2     7.41358     7.47739   0.0451179
           3     7.47799     7.47759   0.0300791
           4     7.47658     7.47734   0.0225604
           5     7.28284     7.43844   0.0391956
           6     7.55709     7.45821   0.0373198
           7     7.47916      7.4612   0.0321082
           8     7.25863     7.43588    0.036747
           9     7.37077     7.42865   0.0333687
          10     7.31288     7.41707   0.0319771
          11       7.458     7.42079   0.0292858
          12     7.36148     7.41585   0.0272592
          13      7.2981     7.40679   0.0266247
          14     7.46181     7.41072   0.0250113
          15     7.50585     7.41706   0.0241345
          16     7.38952     7.41534   0.0226874
          17     7.44656     7.41718    0.021427
          18     7.40902     7.41673   0.0202414
          19     7.30228      7.4107   0.0200522
          20     7.39522     7.40993   0.0190646
