#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554582   -0.554582           0
           2   -0.554023   -0.554302 0.000197424
           3   -0.554792   -0.554466 0.000187294
           4   -0.554567   -0.554491 0.000142182
           5   -0.554898   -0.554572  0.00013509
           6   -0.553455   -0.554386 0.000203885
           7    -0.55379   -0.554301 0.000191707
           8   -0.554895   -0.554375 0.000181557
           9   -0.554916   -0.554435 0.000171032
          10   -0.555169   -0.554509  0.00016892
          11   -0.555717   -0.554619 0.000185864
          12   -0.554164   -0.554581 0.000174194
          13   -0.554306    -0.55456 0.000162075
          14   -0.555263    -0.55461 0.000158099
          15    -0.55381   -0.554556 0.000156301
          16   -0.554981   -0.554583 0.000148765
          17   -0.554891   -0.554601 0.000141114
          18   -0.555094   -0.554629 0.000135909
          19   -0.554772   -0.554636 0.000128966
          20   -0.554793   -0.554644 0.000122755
