#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.38261     8.38261           0
           2     8.56558     8.47409   0.0646921
           3      8.4471      8.4651   0.0437492
           4     8.48446     8.46994   0.0330785
           5     8.39592     8.45514   0.0295903
           6     8.65204     8.48795   0.0388012
           7     8.92514     8.55041   0.0667043
           8     8.84327     8.58702   0.0676702
           9     8.59262     8.58764   0.0601542
          10     8.46439     8.57531    0.055387
          11     8.38127     8.55767   0.0530866
          12     8.63469     8.56409   0.0490491
          13     8.51275     8.56014   0.0454348
          14     8.57963     8.56153   0.0422108
          15     8.75383     8.57435   0.0412976
          16     8.77025      8.5866   0.0404909
          17     8.80643     8.59953   0.0401208
          18     8.56992     8.59788   0.0379256
          19     9.18415     8.62874   0.0468287
          20     8.51541     8.62307   0.0448288
