#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.139445    0.139445           0
           2    0.141895     0.14067 0.000866206
           3    0.147627    0.142989  0.00197956
           4    0.149908    0.144719  0.00210918
           5    0.146326     0.14504  0.00171166
           6    0.138224    0.143904  0.00176352
           7    0.143013    0.143777  0.00151618
           8    0.139762    0.143275  0.00140726
           9    0.146207    0.143601  0.00128805
          10    0.142689    0.143509  0.00116247
          11    0.167099    0.145654  0.00230164
          12    0.154508    0.146392  0.00222497
          13     0.14835    0.146542  0.00205891
          14    0.144793    0.146418  0.00191564
          15    0.136898    0.145783  0.00189014
          16    0.155801    0.146409  0.00187284
          17    0.151936    0.146734  0.00179067
          18    0.150529    0.146945  0.00170355
          19     0.13599    0.146368  0.00170867
          20    0.156869    0.146893  0.00170199
