#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.72143    -0.72143           0
           2   -0.719865   -0.720648 0.000553523
           3   -0.721358   -0.720884 0.000416549
           4   -0.720678   -0.720833 0.000315575
           5   -0.720624   -0.720791 0.000255208
           6   -0.720398   -0.720726 0.000220904
           7   -0.720492   -0.720692 0.000191851
           8    -0.72052   -0.720671 0.000169073
           9   -0.719688   -0.720562 0.000182164
          10   -0.720399   -0.720545 0.000164669
          11   -0.720676   -0.720557 0.000150127
          12   -0.720378   -0.720542  0.00013836
          13   -0.720278   -0.720522 0.000129206
          14   -0.720426   -0.720515  0.00012016
          15    -0.71986   -0.720471  0.00011982
          16   -0.720622   -0.720481 0.000112699
          17   -0.722002    -0.72057 0.000137054
          18   -0.721378   -0.720615 0.000136598
          19   -0.720703    -0.72062 0.000129487
          20   -0.720494   -0.720613 0.000123166
