#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0586068   0.0586068           0
           2   0.0580456   0.0583262 0.000198414
           3   0.0578328   0.0581617 0.000188494
           4   0.0584416   0.0582317 0.000153808
           5    0.058978    0.058381 0.000181558
           6   0.0543152   0.0577033  0.00063682
           7   0.0557872   0.0574296 0.000601808
           8   0.0582412    0.057531 0.000535065
           9    0.060214   0.0578292  0.00055245
          10   0.0632008   0.0583663 0.000711972
          11   0.0625604   0.0587476 0.000742352
          12   0.0613176   0.0589618 0.000710712
          13   0.0556044   0.0587035 0.000701397
          14   0.0603372   0.0588202 0.000660933
          15   0.0570116   0.0586996 0.000627773
          16   0.0583704    0.058679 0.000588874
          17     0.05834   0.0586591 0.000554572
          18   0.0615968   0.0588223 0.000547251
          19   0.0545272   0.0585963 0.000563206
          20    0.059234   0.0586281 0.000535948
