#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0120209     0.32979           0
           2   0.0120734    0.330512 0.000510004
           3   0.0121067    0.331056 0.000559922
           4   0.0119969    0.330576 0.000591433
           5   0.0122101    0.331457 0.000919257
           6   0.0121491    0.331765 0.000816203
           7   0.0119948    0.331381 0.000784861
           8   0.0120944    0.331434 0.000688556
           9   0.0119938    0.331169 0.000661092
          10   0.0120779    0.331188 0.000595245
          11   0.0121546    0.331394 0.000575822
          12   0.0122338    0.331748 0.000626876
          13   0.0120897    0.331742 0.000578676
          14   0.0119525    0.331469 0.000598445
          15   0.0120916    0.331486 0.000558803
          16   0.0120971    0.331511 0.000524424
          17   0.0119833    0.331349 0.000517947
          18   0.0120293    0.331276 0.000494389
          19   0.0121202    0.331341 0.000472659
          20   0.0120957    0.331366 0.000449696
