#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0148765    0.229576           0
           2   0.0148272    0.229195 0.000269042
           3   0.0148951    0.229418 0.000255288
           4   0.0147649    0.229027 0.000389094
           5   0.0149268    0.229292 0.000391191
           6   0.0148777    0.229342 0.000329222
           7    0.014932    0.229498 0.000316889
           8   0.0149267    0.229604 0.000294632
           9   0.0147946    0.229461 0.000294785
          10   0.0149123    0.229527 0.000272774
          11   0.0149755    0.229671   0.0002831
          12    0.014904    0.229698 0.000260838
          13   0.0150943    0.229947 0.000339461
          14    0.014931    0.229981  0.00031687
          15   0.0149789    0.230059 0.000305272
          16   0.0146676    0.229827 0.000363646
          17   0.0148773    0.229813 0.000342528
          18   0.0148793    0.229803 0.000323669
          19   0.0150143    0.229903 0.000321705
          20   0.0148891    0.229896 0.000305689
