#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.493837   -0.493837           0
           2   -0.493206   -0.493521 0.000223163
           3   -0.493126    -0.49339 0.000183521
           4   -0.493659   -0.493457 0.000149506
           5   -0.493311   -0.493428 0.000122415
           6   -0.492508   -0.493275 0.000173183
           7   -0.493933   -0.493369  0.00017209
           8   -0.493526   -0.493388 0.000151694
           9    -0.49369   -0.493422 0.000138506
          10   -0.492841   -0.493364 0.000136296
          11   -0.493806   -0.493404 0.000129692
          12   -0.493418   -0.493405 0.000118889
          13   -0.492934   -0.493369 0.000115141
          14     -0.4941   -0.493421 0.000118172
          15   -0.493232   -0.493408 0.000110963
          16   -0.493601    -0.49342 0.000104678
          17   -0.493836   -0.493445 0.000101335
          18   -0.493807   -0.493465 9.76841e-05
          19   -0.493198   -0.493451  9.3551e-05
          20   -0.493111   -0.493434 9.04023e-05
