#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.614528   -0.614528           0
           2   -0.613491    -0.61401 0.000366564
           3   -0.613286   -0.613769 0.000313786
           4   -0.613212   -0.613629 0.000264392
           5   -0.613782    -0.61366 0.000213277
           6   -0.613638   -0.613656 0.000177761
           7   -0.612455   -0.613485 0.000220126
           8   -0.614084    -0.61356 0.000204958
           9   -0.613227   -0.613523 0.000185484
          10   -0.613983   -0.613569 0.000172556
          11   -0.614199   -0.613626 0.000166114
          12    -0.61465   -0.613711 0.000172785
          13   -0.613771   -0.613716 0.000159555
          14   -0.612839   -0.613653 0.000159978
          15   -0.612526   -0.613578 0.000166021
          16   -0.613743   -0.613589 0.000155964
          17   -0.613558   -0.613587   0.0001468
          18   -0.612953   -0.613552 0.000142807
          19    -0.61285   -0.613515 0.000139978
          20   -0.614055   -0.613542 0.000135563
