#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583219   -0.583219           0
           2    -0.58284    -0.58303 0.000134067
           3    -0.58233   -0.582797 0.000210242
           4   -0.582209    -0.58265 0.000202622
           5   -0.583242   -0.582768 0.000193703
           6   -0.582525   -0.582728 0.000165611
           7   -0.582365   -0.582676 0.000149843
           8   -0.583494   -0.582778  0.00016228
           9   -0.582837   -0.582785 0.000144381
          10    -0.58252   -0.582758 0.000132344
          11   -0.583763   -0.582849 0.000148544
          12    -0.58193   -0.582773 0.000154654
          13     -0.5825   -0.582752 0.000144175
          14   -0.583771   -0.582825 0.000151147
          15   -0.582217   -0.582784 0.000146403
          16   -0.582041   -0.582738 0.000144437
          17   -0.582964   -0.582751 0.000136552
          18   -0.583188   -0.582775 0.000131106
          19   -0.582716   -0.582772 0.000124243
          20   -0.582552   -0.582761 0.000118518
