#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0057727    0.450992           0
           2  0.00571387    0.448694  0.00162489
           3  0.00557789    0.444387  0.00367975
           4  0.00571723    0.444955  0.00280329
           5  0.00559563    0.443395  0.00264092
           6  0.00563218    0.442832  0.00226011
           7  0.00551112    0.441078  0.00252763
           8  0.00555816    0.440222  0.00235212
           9  0.00570878    0.440864  0.00217657
          10  0.00570458    0.441345  0.00201128
          11  0.00559743    0.440977  0.00186176
          12  0.00558767    0.440607  0.00174299
          13  0.00560769    0.440414  0.00161954
          14   0.0055713    0.440046  0.00154517
          15  0.00561922    0.439976  0.00144373
          16  0.00555829    0.439618  0.00139728
          17   0.0056678    0.439805  0.00132754
          18  0.00560858    0.439714  0.00125689
          19  0.00560765    0.439629  0.00119361
          20   0.0055652    0.439387  0.00115828
