#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00310239    0.430888           0
           2  0.00304403    0.426835  0.00286581
           3  0.00309294    0.427749  0.00205098
           4  0.00303043    0.426035  0.00213768
           5  0.00308237    0.426449  0.00174987
           6  0.00299321    0.424661   0.0021885
           7  0.00304255    0.424364  0.00189602
           8  0.00300724    0.423527  0.00183422
           9  0.00301537    0.423002  0.00170394
          10  0.00306454    0.423265  0.00155369
          11  0.00311804    0.424155  0.00164803
          12   0.0030426    0.424024  0.00151589
          13  0.00309105    0.424431  0.00145284
          14  0.00292949    0.423177   0.0018112
          15  0.00313757    0.424017  0.00187507
          16  0.00302512    0.423776  0.00177334
          17  0.00302724     0.42358  0.00167978
          18  0.00302377    0.423379   0.0015984
          19   0.0030764    0.423585  0.00152738
          20  0.00304772     0.42357  0.00145108
