#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     32.2079     32.2079           0
           2     33.3919     32.7999    0.418589
           3     33.0323     32.8774    0.286138
           4     32.3207     32.7382    0.246131
           5     32.8969     32.7699    0.198941
           6     33.4378     32.8812    0.194447
           7     33.7624     33.0071    0.203375
           8     31.1852     32.7794    0.277581
           9      31.877     32.6791    0.264228
          10     34.9321     32.9044     0.31974
          11      33.902     32.9951    0.303262
          12      35.081     33.1689    0.323999
          13     32.2774     33.1004    0.306247
          14     33.6778     33.1416    0.287136
          15     31.2113     33.0129    0.295426
          16     33.6531     33.0529    0.279659
          17     32.0311     32.9928    0.269591
          18     32.3877     32.9592    0.256701
          19     33.5237     32.9889    0.244904
          20     33.6929     33.0241    0.235175
