#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.74358     2.74358           0
           2     2.74643       2.745  0.00100946
           3     2.73159     2.74053  0.00371125
           4     2.74186     2.74087  0.00279818
           5     2.79742     2.75218   0.0103612
           6     2.72444     2.74755  0.00961025
           7      2.7439     2.74703   0.0082515
           8     2.71975     2.74362  0.00789317
           9     2.75079     2.74442  0.00705622
          10     2.78384     2.74836  0.00736998
          11     2.74107      2.7477  0.00672969
          12     2.74444     2.74743  0.00617434
          13     2.75217     2.74779  0.00571016
          14     2.80568     2.75193  0.00663233
          15      2.7316     2.75057  0.00632709
          16     2.74938      2.7505  0.00593209
          17     2.77365     2.75186  0.00573739
          18     2.73523     2.75094  0.00549253
          19     2.74157     2.75044   0.0052255
          20     2.71762      2.7488  0.00521564
