#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.0479     10.0479           0
           2     10.3202     10.1841   0.0962724
           3     9.95891      10.109   0.0887421
           4     9.93971     10.0667   0.0759845
           5     9.84018     10.0214   0.0730551
           6     10.2947     10.0669   0.0737249
           7     10.5195     10.1316   0.0870385
           8      10.233     10.1443   0.0770755
           9     10.7955     10.2166   0.0966828
          10     10.3048     10.2254    0.087416
          11     10.1718     10.2206   0.0796049
          12     10.0448     10.2059    0.074307
          13     9.97866     10.1884   0.0706174
          14      10.381     10.2022   0.0668998
          15     10.0575     10.1925   0.0631313
          16     10.2385     10.1954   0.0592508
          17     10.3918      10.207   0.0568799
          18     10.4056      10.218   0.0547798
          19     10.4732     10.2314   0.0535184
          20     9.81115     10.2104   0.0548131
