#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0083437    0.417185           0
           2  0.00837839    0.418052 0.000613283
           3  0.00828208    0.416736  0.00114974
           4  0.00828707     0.41614  0.00100485
           5  0.00851198    0.418032  0.00187322
           6  0.00838868    0.418266  0.00157553
           7  0.00829782    0.417784  0.00142231
           8  0.00835694    0.417792  0.00124454
           9  0.00837997    0.417926  0.00111346
          10  0.00836267    0.417947  0.00100231
          11  0.00839218    0.418098 0.000922512
          12  0.00839118    0.418219 0.000853639
          13  0.00838745    0.418308  0.00079257
          14  0.00830814    0.418101 0.000762566
          15  0.00852322    0.418638 0.000880935
          16  0.00855037    0.419193 0.000985316
          17  0.00845937    0.419415 0.000952052
          18  0.00847473    0.419655 0.000928935
          19  0.00839915    0.419671 0.000880179
          20  0.00840406    0.419698 0.000836572
