#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.110344    0.110344           0
           2    0.115732    0.113038  0.00190495
           3    0.113192    0.113089  0.00127066
           4    0.102025    0.110323  0.00257809
           5    0.113542    0.110967  0.00214137
           6    0.108761    0.110599  0.00181576
           7    0.104286    0.109697  0.00176618
           8    0.109856    0.109717  0.00154552
           9    0.116936    0.110519  0.00156818
          10     0.10596    0.110063  0.00147616
          11      0.1078    0.109858  0.00135623
          12    0.096496    0.108744   0.0016377
          13    0.101877    0.108216  0.00159464
          14    0.113899    0.108622  0.00153154
          15    0.115943     0.10911   0.0015052
          16    0.115096    0.109484  0.00145688
          17    0.097032    0.108752  0.00154438
          18    0.112587    0.108965  0.00147321
          19    0.122365     0.10967  0.00155536
          20    0.108494    0.109611  0.00147871
