#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     77.6255     77.6255           0
           2     79.1011     78.3633    0.521675
           3     79.8533       78.86    0.534227
           4     79.3846     78.9911    0.416459
           5     78.8425     78.9614    0.334226
           6     78.4489      78.876     0.28923
           7     79.1027     78.9084    0.249719
           8     78.5463     78.8631    0.222568
           9     80.1301     79.0039    0.238238
          10     79.7785     79.0813    0.226658
          11     81.4721     79.2987    0.292233
          12     78.2707      79.213    0.280154
          13     81.3778     79.3795    0.304095
          14     81.8248     79.5542    0.328728
          15     79.7117     79.5647    0.306981
          16     77.9061      79.461    0.304795
          17     80.4958     79.5219    0.292881
          18     79.3141     79.5104    0.276837
          19     78.7989     79.4729    0.264787
          20     78.9238     79.4455    0.252967
