#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0912216   0.0912216           0
           2   0.0909788   0.0911002 8.58428e-05
           3   0.0958284   0.0926763  0.00128812
           4    0.090258   0.0920717  0.00109885
           5   0.0977388   0.0932051  0.00134182
           6    0.090552   0.0927629  0.00118881
           7   0.0938084   0.0929123  0.00102832
           8   0.0931984    0.092948 0.000900404
           9    0.093382   0.0929963 0.000801649
          10   0.0944332     0.09314  0.00073425
          11    0.097736   0.0935578 0.000777342
          12     0.10485   0.0944988  0.00114866
          13    0.104491   0.0952674  0.00129212
          14    0.103423   0.0958499  0.00132465
          15    0.096598   0.0958998  0.00123728
          16    0.110002   0.0967812  0.00144006
          17     0.10099   0.0970288  0.00137646
          18    0.106092   0.0975323  0.00138905
          19   0.0958612   0.0974443  0.00131872
          20   0.0969088   0.0974176  0.00125306
