#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.72124     5.72124           0
           2     5.46437     5.59281   0.0908175
           3     5.46499      5.5502   0.0698278
           4     5.64945     5.57501   0.0566078
           5     5.48684     5.55738   0.0479542
           6      5.5948     5.56362   0.0403654
           7     5.66234     5.57772   0.0369809
           8      5.5971     5.58014   0.0324375
           9     5.76199     5.60035   0.0345582
          10     5.62323     5.60264   0.0311781
          11     5.57354     5.59999   0.0284557
          12      5.4487     5.58738   0.0287419
          13     5.54412     5.58406    0.026723
          14      5.6071      5.5857   0.0248648
          15     5.67775     5.59184   0.0239524
          16     5.69893     5.59853   0.0233719
          17     5.57824     5.59734   0.0220275
          18     5.57319       5.596   0.0208445
          19     5.47254      5.5895   0.0207355
          20     5.67519     5.59378   0.0201365
