#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.891466   -0.891466           0
           2   -0.893487   -0.892477 0.000714461
           3   -0.891018    -0.89199 0.000620155
           4   -0.892821   -0.892198 0.000498654
           5    -0.89245   -0.892248  0.00040147
           6   -0.893234   -0.892413 0.000366598
           7   -0.892278   -0.892393 0.000314728
           8   -0.892058   -0.892352  0.00027816
           9   -0.893012   -0.892425  0.00025675
          10   -0.891753   -0.892358 0.000239712
          11   -0.892097   -0.892334 0.000219091
          12   -0.891752   -0.892286 0.000206132
          13   -0.892781   -0.892324 0.000193765
          14   -0.891669   -0.892277 0.000185484
          15   -0.893621   -0.892366 0.000193552
          16   -0.891737   -0.892327 0.000185412
          17   -0.894676   -0.892465 0.000220046
          18   -0.890923    -0.89238 0.000223878
          19    -0.89141   -0.892329 0.000217829
          20    -0.89338   -0.892381 0.000213187
