#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.847373   -0.847373           0
           2   -0.848452   -0.847912 0.000381555
           3   -0.847367   -0.847731 0.000294486
           4   -0.849012   -0.848051   0.0003546
           5    -0.84897   -0.848235 0.000327837
           6   -0.848555   -0.848288 0.000277514
           7    -0.84678   -0.848073 0.000310433
           8   -0.847864   -0.848047 0.000272722
           9   -0.846903    -0.84792 0.000270397
          10   -0.850056   -0.848133 0.000316705
          11   -0.847258   -0.848054 0.000297749
          12   -0.849244   -0.848153  0.00028899
          13   -0.849313   -0.848242 0.000280197
          14   -0.848086   -0.848231 0.000260406
          15   -0.848229   -0.848231 0.000243045
          16   -0.848037   -0.848219 0.000228157
          17    -0.84971   -0.848306 0.000230979
          18   -0.850763   -0.848443 0.000255311
          19   -0.849247   -0.848485 0.000245359
          20   -0.849573    -0.84854 0.000239042
