#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.912082   -0.912082           0
           2   -0.914846   -0.913464 0.000977222
           3   -0.913506   -0.913478 0.000651578
           4    -0.91341   -0.913461 0.000488908
           5   -0.913392   -0.913447 0.000391321
           6   -0.916047   -0.913881 0.000512663
           7   -0.914302   -0.913941 0.000442954
           8   -0.911824   -0.913676 0.000459873
           9   -0.912635   -0.913561 0.000423072
          10   -0.914634   -0.913668 0.000394139
          11   -0.914741   -0.913765 0.000370181
          12   -0.917131   -0.914046 0.000432738
          13   -0.913688   -0.914018 0.000400325
          14   -0.914887    -0.91408 0.000376511
          15   -0.912248   -0.913958 0.000370698
          16   -0.916159   -0.914096 0.000372178
          17    -0.91343   -0.914057 0.000352343
          18   -0.914038   -0.914056  0.00033277
          19   -0.914516    -0.91408 0.000316136
          20   -0.915742   -0.914163 0.000311067
