#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0146533    0.239237           0
           2    0.014738    0.239928  0.00048911
           3   0.0146573     0.23972 0.000367842
           4   0.0147236    0.239886 0.000311245
           5    0.014683    0.239853 0.000250726
           6   0.0146902    0.239851 0.000208947
           7    0.014599    0.239637 0.000267364
           8   0.0145695    0.239416 0.000312201
           9   0.0147294    0.239534  0.00029905
          10   0.0145978    0.239414 0.000292334
          11   0.0147325    0.239515 0.000282834
          12   0.0145418     0.23934 0.000308625
          13   0.0145916    0.239255 0.000296482
          14   0.0146197    0.239215 0.000278044
          15   0.0146586    0.239222 0.000259602
          16   0.0145499    0.239117 0.000263571
          17   0.0145128    0.238989 0.000277362
          18    0.014598    0.238953 0.000264322
          19   0.0147495    0.239051 0.000267836
          20   0.0146667    0.239071 0.000255212
