#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.630195   -0.630195           0
           2   -0.629391   -0.629793 0.000284257
           3   -0.629024   -0.629537 0.000282381
           4   -0.628833   -0.629361 0.000260932
           5   -0.630482   -0.629585 0.000289435
           6   -0.629974    -0.62965 0.000248367
           7   -0.629222   -0.629589 0.000220293
           8   -0.629388   -0.629564 0.000194179
           9   -0.628874   -0.629487 0.000187128
          10   -0.630128   -0.629551 0.000179059
          11   -0.629954   -0.629588 0.000166494
          12   -0.629537   -0.629583 0.000152673
          13   -0.628742   -0.629519 0.000154029
          14   -0.630247   -0.629571  0.00015156
          15    -0.62951   -0.629567 0.000141509
          16   -0.628035   -0.629471 0.000161834
          17   -0.630225   -0.629515 0.000158272
          18   -0.631099   -0.629603 0.000172209
          19   -0.629509   -0.629598 0.000163217
          20    -0.62963     -0.6296 0.000155064
