#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.376968    0.376968           0
           2    0.346592     0.36178   0.0107394
           3    0.368775    0.364112  0.00740839
           4     0.33491    0.356811  0.00841701
           5    0.387929    0.363035  0.00873658
           6    0.392439    0.367936  0.00854512
           7    0.332769    0.362912  0.00867637
           8    0.363296     0.36296  0.00759196
           9    0.356862    0.362282  0.00677858
          10    0.362668    0.362321  0.00610083
          11    0.334392    0.359782   0.0060515
          12    0.349852    0.358954  0.00560349
          13    0.339865    0.357486  0.00536141
          14    0.324065    0.355099  0.00548423
          15     0.35539    0.355118  0.00511865
          16    0.334623    0.353837  0.00495643
          17    0.318481    0.351757  0.00508253
          18    0.365006    0.352493  0.00485317
          19    0.361471    0.352966  0.00462068
          20     0.35874    0.353255  0.00439866
