#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     12.3648     12.3648           0
           2     12.1197     12.2422   0.0866633
           3     12.6671     12.3838    0.129257
           4      12.492     12.4109   0.0997294
           5     12.1069     12.3501   0.0965514
           6     12.5233      12.379   0.0846681
           7     12.1999     12.3534   0.0763387
           8     12.3641     12.3547   0.0668082
           9     12.2239     12.3402   0.0609456
          10     12.5212     12.3583   0.0574761
          11     12.4293     12.3647   0.0526119
          12     12.1157      12.344   0.0521591
          13     12.7925     12.3785   0.0584544
          14     12.1277     12.3606    0.056957
          15     12.0569     12.3403   0.0566437
          16     12.3665      12.342    0.053127
          17     12.4102      12.346   0.0501532
          18      12.143     12.3347   0.0486185
          19     12.5669     12.3469   0.0475703
          20      12.408       12.35   0.0452896
