#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1   0.0131085      0.2913           0
           2   0.0133169    0.293616  0.00163767
           3   0.0132194    0.293665  0.00109253
           4   0.0132096    0.293635 0.000819802
           5    0.013293    0.293988 0.000727881
           6   0.0132032    0.293891 0.000613023
           7   0.0131069    0.293516 0.000629971
           8   0.0133536    0.293919 0.000668245
           9   0.0132049    0.293867 0.000596087
          10    0.013133    0.293664 0.000569716
          11    0.013149    0.293531 0.000533263
          12    0.013121    0.293368 0.000513083
          13   0.0133165    0.293565 0.000509819
          14   0.0131413    0.293455 0.000485064
          15   0.0131446    0.293365 0.000461047
          16   0.0131735    0.293326 0.000433863
          17     0.01316    0.293274 0.000411437
          18   0.0131035    0.293158 0.000404548
          19    0.013156    0.293116  0.00038545
          20   0.0132785    0.293214 0.000378464
