#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0841688   0.0841688           0
           2   0.0816916   0.0829302 0.000875822
           3   0.0806108   0.0821571 0.000859888
           4     0.07732   0.0809478   0.0012299
           5   0.0725876   0.0792758  0.00179016
           6    0.076504   0.0788138  0.00155026
           7    0.074178   0.0781515  0.00146343
           8   0.0811108   0.0785214  0.00132643
           9   0.0845264   0.0791887  0.00133636
          10     0.07779   0.0790488  0.00121002
          11   0.0714776   0.0783605  0.00128091
          12   0.0676352   0.0774667   0.0014529
          13     0.07625   0.0773731  0.00134415
          14   0.0721064   0.0769969  0.00129972
          15   0.0732784    0.076749  0.00123649
          16    0.083714   0.0771843  0.00123346
          17   0.0719708   0.0768777  0.00119842
          18   0.0746356   0.0767531   0.0011383
          19   0.0836424   0.0771157  0.00113467
          20   0.0767104   0.0770954  0.00107811
