#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.69958     1.69958           0
           2     1.65802      1.6788   0.0146938
           3     1.68817     1.68192   0.0101228
           4     1.68822     1.68349  0.00771346
           5     1.69131     1.68506  0.00632714
           6     1.69362     1.68648  0.00543123
           7     1.70085     1.68854  0.00502809
           8     1.71017     1.69124  0.00507476
           9     1.68344     1.69037  0.00458441
          10      1.7134     1.69268  0.00466847
          11     1.69467     1.69286  0.00424757
          12     1.69311     1.69288  0.00389366
          13      1.6975     1.69323  0.00361034
          14     1.67186     1.69171  0.00366101
          15     1.70003     1.69226  0.00345874
          16     1.70197     1.69287  0.00329536
          17     1.69715     1.69312  0.00311111
          18     1.70052     1.69353  0.00296531
          19     1.69051     1.69337  0.00281352
          20     1.68841     1.69312  0.00268377
