#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.32694     2.32694           0
           2     2.38281     2.35487    0.019753
           3     2.30304     2.33759   0.0192985
           4     2.30201      2.3287   0.0163969
           5     2.35248     2.33345   0.0137901
           6     2.33947     2.33446   0.0115281
           7     2.33928     2.33515  0.00990185
           8     2.35122     2.33716  0.00886571
           9     2.37948     2.34186  0.00904203
          10     2.39992     2.34766  0.00982694
          11     2.34995     2.34787  0.00893577
          12     2.33789     2.34704  0.00822978
          13     2.34147     2.34661  0.00760788
          14     2.32711     2.34522  0.00719089
          15      2.3438     2.34512  0.00671212
          16     2.32764     2.34403  0.00638097
          17     2.36688     2.34537  0.00614557
          18      2.2799     2.34174  0.00679586
          19     2.32401      2.3408   0.0065019
          20     2.34314     2.34092  0.00617785
