#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.965709   -0.965709           0
           2   -0.974205   -0.969957  0.00300379
           3    -0.97255   -0.970821   0.0021233
           4   -0.973772   -0.971559  0.00171583
           5    -0.97542   -0.972331  0.00153664
           6   -0.971346   -0.972167  0.00128928
           7   -0.972913   -0.972273  0.00110949
           8   -0.978234   -0.973019   0.0011951
           9   -0.971625   -0.972864   0.0010723
          10   -0.974092   -0.972987 0.000972076
          11   -0.977369   -0.973385 0.000961882
          12   -0.976874   -0.973676 0.000924616
          13   -0.971686   -0.973523 0.000866061
          14   -0.973317   -0.973508 0.000804325
          15    -0.97383   -0.973529  0.00075099
          16   -0.974017    -0.97356 0.000704671
          17   -0.974376   -0.973608 0.000664853
          18   -0.974928   -0.973681 0.000631949
          19   -0.977189   -0.973866 0.000625071
          20   -0.976215   -0.973983 0.000604754
